User_name,when user commented?,Comments body,Number Of Likes,Number of Replies
Theonlyonestanding,4 days ago,Why does the Taliban hide their face,,
Whitney Weigh's In,6 days ago,Clearly the US financial situation is bc of how they carelessly spend their money,41,View 2 replies
Sai Charan,6 days ago,"This is al- Jazeera.
So according Talibans are peace fuls!
Teachers,poets , intellectuals!",7,
Yasamin Hedayat,3 days ago,The reason for disperate situation  Afghanistan is USA and UN they had control on everything in Afghanistan they bring a corrupt person into power Hamid Karzai he always called Taliban and secretly support then. he had no intention to prevent corruption but he encouraged people for stilling and bribery. after him another corrupt and theif Ashraf Ghani got the power with support of Hamid Karzai. world is witness we had the worst election on the history  now its Afghan people and UN paying the price. whait worst is coming.,,
Forrest Patterson,5 days ago,Long story short: they are probably gonna be worse than Nazis,,
LB,3 days ago,Al Jazeera is arguably the best news source in a world where lousy cable news distorts facts with unparalleled bias. They aren't perfect but they are better than the rest in my opinion.,6,
beautifulcrazy,1 week ago,"But that is always what happens.  The US support them and then do an about turn.  The US needs to stop interfering in the business of other countries, and all because of oil or other resources.",17,
Adidasjesus41 -,6 days ago,Lmao.  “Who are the taliban”.  A bunch of 8th century mongrels.  But don’t worry. They promised joe Biden they wouldn’t harm gays or women this time.,,
Inginn Mhway,4 days ago (edited),"In Myanmar the people are trying to fight against military by creating people defense force (like People Army not so well-trained). The military couped over gov and arrested the president, ministers and all authorities. The military also kill people brutally like Taliban but one thing that is difference is they really control all financial aid, authorities and stuffs. But one day I hope we all can lead to what we want justice, peace and equality.",,
ACQ,6 days ago,Its all about who wants to be in power and the one who wants to be in power are those who engage in narcotics trade that is just unbelievable… what good would that do for Afghanistan.,,
Andy F.,1 day ago,Islamic countries never change.,,
Julián Peña,1 week ago,You missed that the soviets were defending the Democratic Republic of Afghanistan whose greatest crime was opening schools to girls.,111,View 7 replies
Артём Казиахмедов,5 days ago,"Betrayal is a matter of date. To betray in time is to foresee. There are no convictions in politics, there are circumstances. That's all you need to know about the U.S. policy",,
GILMANSU PEADEGIDERRES,5 days ago,A steaming pile?,,
M C,3 days ago,Before they were illiterate country boys now they are British citizen...,,
funny ac video ac,4 days ago,I need your help,,
Kanu Amin,1 month ago,"Final score:
Taliban ONE
The greatest country in the history of the world ZERO",178,View 24 replies
Akash Mishra,5 days ago,She never mentioned they are terrorists. It feel she is introducing her love of live to world and waiting desperately to fall in their laps 😂,,
Kosasih Asmita,6 days ago,"I think Taliban will embrace all afghan national army to their Taliban forces. RUSIA and USA have been recorded in human history that both super power in this earth, they failed to defeat Talibans. Talibans might get the help from Allah SWT to stand and fight.",,
Jean-baptiste Poquelin,5 days ago,Country Boys apparently!,,
The Memelord,6 days ago,Ironic,1,
שלום,1 week ago,"The problem is when those who love Taliban lives in a free world, while advocating Afghans to live without freedom.",49,
guz3108,5 days ago,Who funded them?,,
Chicken Is awesome,6 days ago,I feel sorry for all the families of US servicemen that lost their lives in Afganistán fighting for this pile of rock |,12,View reply
Albert,3 days ago (edited),shes hot.,,
rblxgames,4 days ago,im so sad bc i just want the world to go back together :( i wish our lives were normal,2,
JRTG,1 week ago,"At least we'll soon see another TV Show come out of all of these,, Emmy-award winning for sure",11,
Directto Public,2 hours ago,Strong Students,,
Jose Rizal,6 days ago,"WHATEVER THEY WANT !!! LET IT BE !!!! ANYWAY , ALL CONSEQUENCE IS UPON THEM !!!!",,
kalm dwn,4 days ago,they are the armed division of the teletubbies,,
Anatoly Alperovich,1 week ago,"“Trying to stop the forever war” , said a lethargic , senile man.",118,View 6 replies
Marubadi S K,1 day ago,@Sandra read the history first before making statements,,
wasay ahmed,6 days ago,they will not take over afghanistan they did and people are happy with them WE HAVE ALLAH WITH US,,
Peace love and respect ✊🏽,6 days ago,9/11 done by Amarica it’s self so that they can invade Afghanistan,,
Yunk Kellz EST,4 days ago,Who's here after the Taliban takeover Afghanistan,,
Zhengjiani Lord Guardian of Prosperity,1 month ago,"""As they see it""? Really? I wonder if the rhetoric would be the same if a western country ever gets occupied by non-Europeans and they install a government..",45,View 2 replies
h.,6 days ago,Heroes of afghanistan,,
Gautam Vishwanatham,6 days ago,"Why this obsession about Afghanistan? Why is the host even bothered about Taliban, would it make a difference to her ? Just let it be and let’s focus on other issues",,
Ener Rivers,5 days ago,The REAL INTEREST  for AMERICANS was the poppy field$.,,
Rabbit Ears,3 days ago,does it concern anyone else that the reference date is 9/11 ????   smh,,
Steve Berryman,1 week ago,"They failed to mention the Pashtun support for the Taliban, 42% of the population with a huge population in Pakistan seperated by a made up generally ignored border.",47,View 13 replies
Firdaus,4 days ago,The women dont want Taliban to take control coz she doesnt wear hijab.,,
Martin Rooney,3 days ago,They were invented by America and its allies,,
Corwin Rainier,4 days ago (edited),Spoiler alert: the Taliban win.,,
Steven H,1 day ago,Afghan = Taliban,,
J C,1 week ago,"I find it funny that there is always someone that goes and speak to people on the streets and as expected no one likes the Taliban, yet when the time comes to defend the cities. No one stands up to fight the Taliban. You have to wonder who they were asking.",58,View 6 replies
Jacob Nash,5 days ago,Why do we care what's going on in Afghanistan? More importantly why tf are we spending almost a trillion dollars in the Afghanistan?! Wtf???,,
trending news,6 days ago,Why doesn't Afghanistan have their own military,,
HamZa FaZal,5 days ago,"""Afghanistan is the graveyard of great powers"" and guess what, Afghans just burried the whole pride of USA there😂. USA had no idea what they're gonna face and thought that they will end the war within two weeks which lasted for two decades and on the top of that, they lost the war to civilians 😂😂😂",4,
Avi,6 days ago,"Why Afghanistan didn't build their own army in 20 years? 
I would love to help a friend out of trouble but I won't be providing same help for lifetime.",2,
Evandro Nakazone,1 week ago,"I hope they see light and go forward as nation and people, peace be upon them.",10,View reply
Marion Jr. Memeg,5 days ago,Taliban are selfish …..they are saying it is for Allah….. but they are destroying the country……,,
Right path,2 days ago,Dnt talk about drugs sister even in nz clean green western country meth problem so high. U cant say just because some do it the whole country is bad,,
Carlos,2 days ago,Came here for the thumbnail … Interesting info tho,,
Mohamed Ibrahim,3 days ago,"you can dump your propagandas in your pokets i aint buying it. simply put, puppets of the west.",,
Just Opinions,1 month ago,There's always 2 sides to a story. I find it hard to believe the US went there to make the world a safer place.,12,View 12 replies
Patrick Lamshear,2 days ago,I'll bet Herr Putin is celebrating.,,
job garcia,2 days ago,now im interested,,
Selim Muhammad,5 days ago,"Taliban should change their way of treating woman, child.  The should modernize educational system.",,
DiPPiN SaUcE,2 days ago,Everytime a reporter says “Let’a talk…” I’m gone.,,
Mind Blown,1 week ago,"This was two months ago, how fitting",32,View reply
Dennis Abriol Jr.,4 days ago,Taliban already occupied Afghanistan. only four months and all here questions are answered,,
Owen Amos,3 days ago,"Hey Start Here The Taliban hijacked 4 passenger jets and killed 3,000 Americans.  This is where you should have started and ended this video. 9/11 never forget!",,
Munawar Hussain,3 days ago,Super power of the  world are cowards,,
sol star,6 days ago (edited),"They were patiently waiting fo the Americans to leave , the all thing go back to the way they were before !🙁😵‍💫😵‍💫",,
Jo Jo,2 months ago,"“And why are people worried they’ll take over Afghanistan- again ?”
This sweet lady should go to live in Afghanistan to discover by herself instead of doing their propaganda 🙄",134,View 9 replies
Bruce Sims,3 days ago,"Ok..hold the phone....85% of the population are against the Taliban? So where was this demonstrated in the last 20 years? If the Taliban offer justice and some semblance of peace and order, right off they are miles ahead of the Afghan government. That's what the people want: Freedom from Fear, Freedom from Want, Freedom of Religion and Freedom of Speech. All the American intervention offered was a return to business as usual......as Americans saw it, not as Afghans see it.",,
Mc Lovin,4 days ago,Who is funding Taliban ?  That is question. Bullets are not free!,1,View reply
krystiang987 PL,5 days ago,And who are you dear Americans to meddle in the internal affairs of other countries?,,
Ok12,3 days ago,Allahu Akbar,,
Kevin Machani,1 week ago,That was credible analysis  coz it has come to pass,36,View reply
C Mann,1 day ago,what is white terrorism?,,
Richard Mills,6 days ago,"Al Jazera making the Taliban look good?

No one is shocked",,View reply
Dolly Schwall,5 days ago,They are fully following  their Prophet  teaching  ..that's all . Ultra  orthodox  religious  .,,
Manj Marj,4 days ago,kandahaarei meermen passtana,,
D Navarro,1 week ago,"They won! If the Afghans want their freedom, they’re going to have to earn/fight for it. It’s enough already.",117,View 8 replies
Honey Patrol,6 days ago,Pre-programmed society,,
Clown Johnson,6 days ago,Why is it America’s problem ??,,
zainal bidin,4 days ago,"The Taliban is the people that own Afghanistan, the same people who defeated  the British three times in an attempted to conquer and colonised 
Afghanistan from 1839 to 1842, the same people who defeated mighty Russian and again the same people who defeated the superpower America and its allies!",,
VegaVermillion,5 days ago,Wake up people!!! We funded all this ! They beat Russian Armor on horseback. The innocent have been left to those we sought to protect them from . Franklin Delano Roosevelt is rolling in his grave ... We have failed the Afghani people . I am so very sorry!!!,,
Tube56 T,2 months ago,They actually stopped the production of opium when they were in power,115,View 34 replies
Chris Kibler,6 days ago,Who gives a shiff! Take care of the people here !,,
A B,3 days ago,Yeah Afghanis get use to speaking Chinese. Taliban are Pashtun's from Pakistan?,,
arthorl loothe,6 days ago,"August 19, 2021. And it did work 😅",,
jama jamz,12 hours ago,Taliban are gods lost kids,,
HALON747,1 month ago,"Americans help the Mujahedeen to fight the Soviets.  On September 11, they thanked the Americans.",51,View 6 replies
vashh 2,3 days ago,Send trump to the war.. Taliban will scare..,,
Thanh Dang,4 days ago,The way they portray the Talibans as the bad guys…”whoever controls the road controls…” yeah sounds like they are policing theirs country and they want foreigners out.,2,
Muhammad Zainal Arifin,6 days ago,Go go Taliban!,,
Nice Xd,5 days ago,Wtf youtube algorithm,,
jan tariq,2 months ago,It's so funny! when tyrants/infidels want us to learn human rights from them.😂,59,View 37 replies
Jackson,5 days ago,I love my Taliban brothers and sisters.,,View 11 replies
Shaun Caruna,6 days ago,"too late, Rambo is old now",,
daveyboy9000,2 days ago,So why do other countries care so much about what's going on in Afghanistan but not North Korea? Sunken cost fallacy?,1,View reply
chewpaeng12,5 days ago,United Nation have to do something,,
Rafe Hollister,1 month ago,I always switch chairs before I really get down to business.,11,
123 123,4 days ago,😪,,
quincyjackson1950,6 days ago,"Merikkka can’t even defeat Taliban, but want to attack Iran .😒😒😒",,
Connor SHIFT,3 days ago,religion of peace …..huh🤫,,
Aamir Khan,6 days ago,"ideology ideology ,ideology nothing else",,
Farhan Borana,1 week ago,"""You have watches, We have the time"" 
""Talibans""",89,View reply
Meg Smith,4 days ago,😴,,
Juan Alatorre,3 days ago,Talibán made in usa . jajaja jajaja jajaja.,1,
AKT,6 days ago,I just love to listen lies when i know the truth,1,
Ayekpam Maninganba Meetei,6 days ago,Not very informative!,,
Ashrafali Mulla,1 week ago,first time in life ( in 19yrs ) watching news in morning and glad to see such powerful and well mannered information . Thank you,16,
Limpa Pal,5 days ago,Islam means peace?,,
Michael Bilentschuk,5 days ago,"I heard a professor say Taliban !mean students or so!mething simli
Are?",,View reply
Pedroleum100,6 days ago (edited),"Taliban before August 2021: Destabilizing Afghanistan by killing civilians all over the country.
Taliban in August 2021: ""We are the ones who bring peace and security to this country.""

Figures!",3,
ck ck,6 days ago,the usa was only killing the terrorists in the mountain the usa had a deal with the big bad taliban not to attack Kabul or it’s citizens and guarded them while the big bad talibans was just waiting for the right time and having supports if you think about afganistan hasn’t even retaliated it’s government was basically just lost surrended they lost this politic is very very deep if you know you know.,,
Scott Bock,1 month ago,"Afghanistan gets to have their ownership of the problems now. Good luck to the good people there. There are a lot of outstanding, lovely folks there. Hopefully they will thrive and achieve greatness, free from the impending oppression.",10,
ditacihuy TV,6 days ago (edited),"Who worried taliban take over afghanistan? it is you, usa. People of afghhan love them. Do not ever frame them bad by making dull slander. Usa failed gaining oil... thanks God!",,
RINTU DAS,6 days ago,Taliban . its american army from before .who fight for SSR .in the name of Islam 😅😅😅,,
Lukman,6 days ago (edited),"There was even a movie made how the US financed “freedom fighters” who later became Taliban. Tom Hanks starred. 

I hope someday there will be peace in Afghanistan. Seems like the country has been in war forever.",2,View reply
ForexBlackBox,3 days ago,Fake information about Taliban on this video,,
raghu vamsi,1 week ago,"US will do business from people's life such a shame that they are the one made talibans, fought against talibans, and made heck out leaving talibans to be free...",143,View 8 replies
Derick Kimbi,6 days ago,America has 3 Trillion and more for war,,
Hiero Alexander,5 days ago,?,,
Roe Jogan,6 days ago,Qatari government funds Al Jazeera and Taliban both. Wala habibi,,
Alok Kumar,6 days ago,"Everybody blaming someone or other but they are not naming the main root of the cause - ISLAM.

How extreme is this religion so that it's so easily exploitable?",,View reply
Hoàng Dương,1 week ago,"""The question is, why more and more Afghanistan were joining the Taliban?""",106,View 45 replies
Daniel Saucedo,6 days ago,You make it sound like they aren’t that bad. 🤨,,
Alexa Wolfson,22 hours ago,"Why is fox so protective of Biden, bit a single question about his metal capability. |",3,View reply
Daddy and Son Channel,6 days ago,Its all about Black Gold......,,
Ayah Ari,4 days ago,"Semoga Afganistan bersatu dalam Islam, diberkahi Allah menjadi negara yang kuat, makmur, sejahtera dan menjadi contoh bagi negara Islam lain. Jangan mau diadu domba oleh barat. Salam dari Indonesia.",,View reply
Miltiades178,1 week ago,This is a straight down descent to chaos,13,
John Quarter,5 days ago,"who are the Taliban.   Uhhhm...men who do not want women educated beyond elementary school?
Did I get that right ?",,
Tristan Cummings,6 days ago,Can anyone explain to me why it's bad they're taking a country they had 20 years ago? Is it just religion and imposing that religion?,,View reply
A1 Collective,5 days ago,They are dead men walking,,
Chum MD,5 days ago (edited),Seen sick video over 15 yrs ago online of them cutting Americans head off using a pocket knife and all the long man screaming for his mother I'm sure some of you seen this ..that's who they are the video haunts me,,
Mussa Franco Sauhenha,2 months ago,Dont forget to say that the USA Was defeated by Taliban.,69,View 5 replies
Jim Brannan,2 days ago,"People have gotten glimpses of the future through past life regression techniques They reported  having seeing a few hundred years ahead and say that the Middle East is a dark restricted place where no one is allowed to go. It is off limits to everyone. For the rest of the world life is simpler, slower, and that they are at peace and people are happy and content. The fight for money and prestige is gone. Life on Earth is like Heaven.  People  are told that the entire Middle East is dangerous and that it is not safe to even enter, so no one does. Everyone treats it like a dark black hole in the earth. The reason for this  was not shown in these visions. Whether it's a nuclear disaster area, or just something that they were told to do, people just do what they are told. No one ever goes in. The Middle East has always been at war and destroys itself on it's own. They have burned it into their culture. Maybe the rest of the world learns from it.",5,
Yuri Boyka,6 days ago,So why didnt the mighty America sent their mighty killer squads and marines and whatnot just to assassinate the Taliban leaders and then their mighty army and air superiourty and drone powers just whipe out the other talibans? I really dont get it....,,
monkfoobar,1 day ago,Women shilling for Islam SMH,,
D Lion,2 days ago,I better not see any talban sympathizers or supporters,,
CyPh3r CoDM,2 months ago,"When Biden became president, its like he left the game his older brother Trump started",13,View 2 replies
Hall King74,3 days ago,The Taliban are Middle East Republiklans.,,
News Fantasy: Curious Mind,5 days ago,Well.. The real terrosists are leaving afganistan declaring their failor..,,
B B,2 days ago,"The Taliban are a group of 6th century animals, that have never grasp the concept of humanism.",,View 2 replies
Mohammad Eshaq Ahmadi,5 days ago,"actually, the Taliban was the united States projects like Mujahideen but the USA failed to control them, now we can say that the Taliban is the slave of the Pakistani government who tries to destroy Afghanistan economy and security to easy can get access to resources of Afghanistan and also as the Afghanistan government (Pashtun ) has a problem with the border so with controlling Afghanistan by Taliban Pakistan authorities not need to concern about the borders.",,
Rit Adraille,1 week ago,I’m haitian and my country goes through so much ! I always wanna learn about other countries as well,22,View 2 replies
Alhamdulillah Innallaha gafuurur raheem nima,2 days ago,"Following islamic law makes their life in both the world's (here and hereafter ) PEACE N BLESSINGS...... 

A woman who is choosen for her piousness n obeying LORD'S  COMMANDS IS SIMILAR TO MARY PBUH ( MOTHER OF JESUS PBUH )........ ",,
Barry Suss,2 days ago,"Come Mr. Taliban, tally me banana",,
"OCEAN OF KNOWLEDGE, OK",5 days ago,you should not work for aljazeera,,
T Y,4 days ago,Psst....This isn't journalism.,,
--At@--,2 months ago,America and Britain are behind the destruction of Asia.,42,View 4 replies
Nohr Scum,3 days ago,>AL Jazeera,,
Rodney OjoeCooley,5 days ago,Hmmmm.. Afghanistan has 90 % of the worlds heroin,,
Nasser K,7 hours ago,What is this propaganda video 🤦‍♂️,,
"HĐtv - KÊNH BẨN BỰA, BIẾN THÁI VÃI CẢ NỒI",5 days ago,They are Afghanistan Goverment,,
Moved by Truth,1 month ago,Biden wants unrest in the middle-east. That's why he's pulling troops. Put two and two together. He's destroying everything he can with the limited time he has.,19,View 7 replies
бобр,5 days ago,Definitely not biased... noo...,,
Terrence PERKINS,6 days ago,"The us better mind they're 
business.  We have our own issue 400+ year have not been revolve",,
Mohammad Baqir,2 days ago,Taliban==Pashton,,
gerrie j doll,4 days ago,Devils,,
Ikechukwu Peter,1 week ago,"And finally, they're in full control",21,
ohaf,4 days ago,It's not true that in Islamic law you can't watch movie or listen to music,,
Lakshay Makhija,4 days ago,"everyone knows


Edit: I came here to write the comment",,
red pilled,2 days ago,"They are the followers of the peaceful religion of  Mohamad. Welcomed in Germany, France, Sweden, UK and soon in the US.",1,View 2 replies
Tom Joiner,4 days ago,They are the people that do the lalalalalala,,
Kaname Fujiwara,1 week ago,The whole war was a farce from start to finish.,33,
noor jkt,3 days ago,Al jazerra is a friend or enemy of Islam? Please help me answer this..,,
TitanicAnemoia,5 days ago (edited),"God can provide anything for human need , but not for human greed",,
Матвей Субботин,6 days ago,Trusting the science means: listening TO the science NOT people feeding an opinion! I've done the science. |,,
Vanillanova Rex,6 days ago,Who are they? Just another radical offshoot of an ungodly religion,,
Michael Fitzgerald,1 week ago,"Seem stronger than ever? Well Biden did just leave them billions of dollars in weapons,technology, an airfield..
They took Afganistan like nothing. 
So this aged well.",28,View 2 replies
Åzsan,3 days ago,Arm yourselves israel,,
SlapMyBass3825,4 days ago,All of Asia is going to wipe America off the planet.,,
PYT,6 days ago,I'm here only to check this hot girl,1,
Justin Kase,2 months ago,The Taliban seem legit to me. They seized the government but was forced out by foreign forces.,11,
Bryce Springfield,6 days ago,"""Don't let that distract you from the fact that reaching for your pistol is always faster than reloading""",,
Hadram Coltzau,4 days ago,Mmmmnnn this didn't age well.,,
Joseph Huff,1 day ago,"So how Would Americans feel IF Another countries Military had invaded the US?  If that military helped enforced various laws and protections that a large amount of Americans disagreed with.  Afghan had plenty of time to get on their own two feet....If they were unable too, well then props to the Taliban for doing what Afghan was unable to do.  I might not agree with Islam or the Taliban but If i try too see it from their perspective i can understand....",,
Michael Polyakov,5 days ago,This lecture is wrong. This lady mixed taliban and mujahideen. It's mujahideen who were against Soviet Union and taliban was against US.,,
Andy R,1 week ago,"The Taliban seem a better option at the moment, at least they are organized rather than the ANA who abandon their posts after 20 years of training",11,
Tony Wilks,4 days ago,Do not worry about all these countries and what is going to happen .Read your Bible and pray it is never going to end. GOD will decide and you do not want to be here when he brings his forces,,
Tom Barr,5 days ago (edited),"If you suggesting that talisman got money from Iran, then you know nothing about Islam. They are eternal enemies.  Plus if 85% of the population reject them ,then how they were able to recruite generation after another for 30 year ?  And how they took over a whole country in couple weeks with no fight ?",,
Balaji S,5 days ago,Is taliban from pakistans attacking to afghanistan,,
cj 1990,5 days ago,"The law of Christ is love! 
Jesus saves! 
He taught to love your enemies as yourself!",1,
Ruhani Ruhani,2 months ago,"The Taliban will pay price .....bush 
best jocker forever😜😜😜😜😜😜😜😜😜",43,View reply
wrz2k14,6 days ago,SI OS AMA POR QUE OS MATA,1,
Diana Limbu,4 days ago,😟,,
C Mann,1 day ago,what is white terrorism please do speak ....,,
Robert Cox,4 days ago,"I'm sorry, Afghanistan (by some other name) has been occupied by people for many years, very much previous to the ""1980s"" you start with. You look like a ""nice"" suburban girl-next-door, and you can't even go back to the history of the British in Afghanistan. The taliban appear to be ""natives"" of Afghanistan, and so it appears THEY have achieved independence from the occupying forces of USA's coalition. August 15, 1947, India achieved independence from Britain. August 15, 2021, Afghanistan achieves independence...",,
Huzaifa Creation,2 months ago,Yes that's all they want to bring an islamic government because they can't accept that they ruled by other,45,View 6 replies
William Ng,4 days ago,"Al Jazeera and America is the same, you guys make Afghanistan more suffer, American propaganda always lying to Afghanistan people, shame on you America 👎",,
Fauzi Rashid,1 hour ago,This blatanly fake stories about Taliban. How come Taliban get power easily without weapon? It shows the reality is that 80% of afghant support Taliban. Those spoke in this program is consider minority and had been chosen to talk lies.,,
Learnlearn Learnlearn,4 days ago,Here im Taliban 🧟,,
Dixie Normus( ͡° ͜ʖ ͡°),6 days ago,Problem 1 :WAY ARE THER DISLIKES,,
WonderMagician,1 week ago,Does anyone remember that George Bush had invited the Taliban to Washington to secure their cooperation  in protecting the gas pipeline the US was determined to build for Enron?  The real reason that the US invaded Afghanistan: to squash the Taliban.  George Bush warned them that he would bomb them if they refused to cooperate with the US and protect the building of the Enron gas pipeline.,47,View 3 replies
Ronald Jordan,5 days ago,"Here is a question I don’t see anyone asking: Why weren’t more Afghan citizens armed, like in the US. 85k soldiers is a lot, but against millions of armed citizens that are so determined as to throw their babies over razor wire, they wouldn’t have a chance.",1,View 2 replies
Dylan Davis,6 days ago,YouTube is corrupt!,,
Josef Gordon,6 days ago,What a softball propaganda piece.,,
sokhorn pen,6 days ago,USA modern but weak,,
Jamezzz 003,1 week ago,"We all know why this is recommended… this is the Taliban’s doing, they’ve infiltrated YouTube!",37,View reply
Edward Mendoza,6 days ago,Where islamic world ? They are so quit especially arab union,,
Nabyl Y,3 days ago,Religion did all this,,
Dolly Schwall,5 days ago,Why all western  countries  worrying about Taliban  ..They are following  their religious  duty and  faithfully  following  their prophet  teaching  ..Like ultra  orthodox  Jewish  people  in Israel  .,1,
Yatt Azkau,4 days ago,Liar news,,
Nabeel Ajmera,1 week ago,The first word I remembered from talibaan in year 2001 we will never give Osama bin Laden he is our brother,20,
Marvin Claire,6 days ago,What's next,,
Dallas Time Bandits,2 days ago,Who cares,,
Randy Watson,1 day ago,That’s easy. The Taliban are Islamic.  Islam is the Taliban.  Same thing.,,
James Sinclair,3 days ago,"Islamic law and Islamic history shows that education for men AND women is compulsory. Before the Holy Prophet ﷺ founded Islam, women had no rights. After Islam, women had more rights than many do in modern western countries.",,
James Poslon,1 week ago,How can you tell people to Start here when you skim over the history that brought the Taliban into being?? You shouldn't start with their ideology rather you should focus on what actually happened in those years before they rose to power..,30,View reply
Jo An,4 days ago,What she has conveniently left out is that it was US which helped train Taliban initially to fight Russian backed govt of Afghanistan.,1,
Stacy Newsom,6 days ago,"Now it's time for feminist to stand up for women to Take up arms and go fight the taliban, Come on now we know you can do it don't just talk actions tick toke tick tock all we heard is feminism for fifty years now now act.",,
j Dee,3 hours ago,this video is kind of racist ? not cool.,,
Ms P,6 days ago,It seems to me that the taliban are a bunch of stupid men that want to control women by not allowing them to be educated or travel alone. You can’t control people that want to advance and welcome modernisation when there are so many developments across the world. I believe that it will only be a matter of time that Afghans will revolt and turn on the taliban if the feel like they can’t live within the new laws of the country. God willing they will turn on their leaders and become free.,,
Earl Andrew Ortiga,1 week ago,"watching this after the actual chaos in Afghanistan now...

they actually take over the government now... let's see how they run their own government now",30,View 3 replies
D k,4 days ago,The end result of Islam,,
Level 19,6 days ago,Honestly 😒😒😒.. who cares about these caveman!!,,
Anthony Richardson,3 days ago,The idea that 85% don't support the Taliban is LAUGHABLE.  It's more likely the other way around which is why no one is really putting up any resistance to them.,,View reply
maniaaac146,2 days ago,Taliban or any Terror group will always get weapons if not Americans then Russians or Chinese or Iran... These are only few names,,
Muhammad Muhammad,2 months ago,Taliban looks like something is cooking from last 20 years and soon it is going to be served.,12,
shut up ya mouth like,4 days ago,OK I don't believe you specal agent oso,,
Neverland Videos,5 days ago,It was all Trumps fault. Why sign that stupid agreement?,,
Reem Nasser,5 days ago,What a shame. They brought such a bad and shameful image and of Islam.,,
tan wodan,3 days ago,Taliban = mao army,,
desiderata,1 month ago,"The Taliban didn't generate money from the opium, in fact they decimated the poppy fields.",19,View 2 replies
alfa braxton,5 days ago,I better remain in peaceful Africa,,
viskon steel,4 days ago,USA is the main reason for lot of conflicts around the world. They think that they are the superior country and their influence is everywhere. They are  culturally influencing many counties which is wrong. Each country knows what's best for them,,
Enano H,6 days ago,"So You tell me the most advance Military Force in the World with unlimited resources and weapons were unable to defeat, men foot with weapons of last century?, no F-35, no B-2, no SAT recognition, no silent helicopters, no drones, no carriers, Destroyers, etc.??? Thats Funny very Funny, so US must give up all that intelligence and weaponery in exchange to the Talibans war tactics??? sound like a bargain.",,
utubebeena,6 days ago,"The problem of women issues in Afghan is more of a cultural than Islamic problem. There are many parts of the world of Muslim world where women rights have been misunderstood. 

It will take a long time for the Taliban to re-educate its ppl abt the difference between Islamic and cultural .",,
Quya Kalashnikova,1 month ago,"Afghanistan, The Land of Empire Graveyards :)",93,View 14 replies
José Alitta,1 week ago,The leadership we have in this country right now struggles with everything. |,4,
daniel wealth,1 week ago,I've never been so happy to be born a Cameroonian,5,
A Allen,1 week ago,This interview aged very well...,,
SaGaR SwaR,1 week ago,It's sad that they got their motivation and confidence after watching this video :(,2,View 3 replies
Brajesh Kr Suman,1 month ago,This channel preaches liberal idea to the world except it's own government in Qatar.,57,View 5 replies
Paul Wildman,1 week ago,Brilliant presentation thank you ciao paul,,
JebClang,1 week ago (edited),"Seems they get a little more chill (relatively) when making more money.
Wow who knew",,
cantsayando,1 week ago,"Took only a mere 2 hours to take control over Afghanistan.
A Mere 2 Hours",7,View 2 replies
-HIRO-,1 week ago,"The ts, spawn at the other side of the map, (between b and a) they use ak47s and love to blow up a and b",,
bee jame,1 month ago,The worst affected are the people (Afghanistan) on the site who survived the US-NATO war,42,View reply
Rather Not,1 week ago,It's like they knew all along. Good work al Jazeera,,
Hayden Misal,1 week ago,Honestly for me this is so interesting and i wanna see what happen next,9,
amapola53,1 week ago,What a great shame for the Biden administration.,12,
daz it mane,1 week ago,"If this presenter taught me history, it would have become the most interesting subject I would have ever studied.",6,View 2 replies
Eter,1 month ago (edited),"You can't eradicate Taliban, Hezbollah and their likes, when they are a significant fraction of the country's population...",22,View 3 replies
Re Pure,6 days ago,Sad though so many lives died for a war that has the exact same outcome it was in 20 years ago.,1,View reply
AL Muhammad,6 days ago,Yes Epic Comeback !!!!,,
z3r0,1 week ago,this aged really well,,
MrWolfieNuno,1 week ago,Wow I’ve actually learned something,,
hooveskickin,1 week ago,"It's unfortunate that the parents of certain government personnel   didn't learn to ""pull out"" 😉
Things would definitely be better in the world!",21,View reply
Tyler Durden,11 hours ago,Talibiden.,,
Casual Carlist,4 days ago,Relevant eh?,,
SARAH MCHAYLA!!!,4 days ago,☝,,
Николай Морозов,4 days ago,😕,,
SHREYA CHANDRA,1 month ago (edited),"Many of the countries who denied are actually working for Taliban, she is right. 
Even through many news it has been also said that US secretly help Taliban and call them terrorist.
God knows what is in the future!
God protects all of us 🙏",20,View reply
shahnawaz khan,5 days ago,False rumors,,
Red Baron,3 days ago,Ask the white man,,
Zac Winzer,4 days ago,"Sigh. Please read people. Please understand what the country actually is and who the Taliban are and how necessary it is to leave countries to themselves. Don’t just jump on the good old US of A we save the world, anyone who disagrees is a terrorist and a threat bandwagon. There’s very little evidence to even suggest that the Taliban were shielding Al Qaeda it any terrorist groups and that the US acted fairly and responsibly at all. Please go read a little more. There are books and materials written by non-biased people experiencing it as the whole thing went down.",,
Al Goodmonin,4 days ago,The US and Europe countries sent tons of dollars to support Afghanistan and it is disgusting to see that there is no any life improvement in the Afghanistan but good thing some of Afghans was able to build a rich expensive houses there.,,
Pajeet Civilizer,2 months ago,"7:57 Sorry I don't trust ""independent international"" surveys anymore",10,View reply
S.P.Requiem,6 days ago,"I'm not defending the Taliban in any way, but if being a radical islamist regime is enough reason to view them as illegitimate, them many governments in the Middle East have to be toppled too under this standard, starting from Saudi Arabia.",,
sidney terluin,1 day ago,Đọc thêm |,,
Carlos Taboada,6 days ago,Who are the Taliban?.........  You should ask the American generals   !!!!!!!!!!,,
